用户ID,服务ID,时间,行为,内容,转推,喜欢,回复,URL
Nick Craver,Twitter,上午5:26 - 2016年8月11日,喜欢,"David Robinson 的 Twitter: “@TedRodrigo65 @FryRsquared PhD from Princeton, but sure”",0,22,2,https://twitter.com/drob/status/763713195005636608
Nick Craver,Twitter,上午8:44 - 2016年7月26日,喜欢,"David Kean 的 Twitter: “@onovotny @Nick_Craver @pshore73 Until Americans stop being punished for voting 3rd party, it&#39;s never going to change.”",0,4,1,https://twitter.com/davkean/status/757964832507211777
Nick Craver,Twitter,下午1:46 - 2016年7月1日,喜欢,Mark Henderson 的 Twitter: “Kids had a good day at the @stackoverflow office. Thanks @sassiestone and everyone else! https://t.co/lHXjerNDWe”,0,5,5,https://twitter.com/thefarseeker/status/748981024403525632
Nick Craver,Twitter,上午3:55 - 2016年8月21日,喜欢,Marc Gravell 的 Twitter: “@Nick_Craver so much this”,0,2,2,https://twitter.com/marcgravell/status/767314099147575296
Nick Craver,Twitter,下午7:04 - 2016年6月30日,喜欢,Saved You A Click 的 Twitter: “when u periscope from the wrong account but accidentally prove people will watch anything”,0,412,12,https://twitter.com/savedyouaclick/status/748698850953662464
Nick Craver,Twitter,上午11:51 - 2016年6月10日,喜欢,Kurtis Beavers 的 Twitter: “@Nick_Craver looking sharp.”,0,1,1,https://twitter.com/kjbeavers/status/741342136323432448
Nick Craver,Twitter,上午10:02 - 2016年5月22日,喜欢,David Kean 的 Twitter: “@Nick_Craver but we want to make this even better: https://t.co/IxafMC6Hg4”,0,2,2,https://twitter.com/davkean/status/734429256835604481
Nick Craver,Twitter,下午7:43 - 2016年4月26日,喜欢,"ERSATZ DEVLOPER 的 Twitter: “@shanemadden @Nick_Craver Pfft. Shell script, please. This is where we reveal our dependency on Java.”",0,4,1,https://twitter.com/jasonpunyon/status/725153489563820033
Nick Craver,Twitter,上午10:12 - 2016年4月1日,喜欢,Scott Hanselman 的 Twitter: “Checking out the most amazing 3D printer. Can&#39;t be believed. https://t.co/7qHbldf7MJ https://t.co/wICtaYHUf3”,0,29,6,https://twitter.com/shanselman/status/715949898038906885
Nick Craver,Twitter,下午6:26 - 2016年6月24日,喜欢,ERSATZ DEVLOPER 的 Twitter: “Dumplings and Mai Tais! with @inscitekjeff @kevinmontrose @aalear @sassiestone Miss you @fody! https://t.co/rKRSaUPEze”,0,18,4,https://twitter.com/jasonpunyon/status/746514983362641920
Nick Craver,Twitter,上午8:31 - 2016年6月10日,喜欢,"David Kean 的 Twitter: “@Nick_Craver Not me personally, but I&#39;ll pass it onto the team. Thanks!”",0,1,1,https://twitter.com/davkean/status/741291698807001088
